iter	Passed	Remaining
743	6959	23745744	6967	23746745	6971	23747746	7009	23748747	7018	23749748	7025	23750749	7036	2345
750	7040	2334
751	7047	2324
752	7057	2315
753	7064	2304
754	7082	2298
755	7090	2288
756	7096	2278
757	7105	2268
758	7116	2259
759	7121	2248
760	7130	2239
761	7137	2229
762	7144	2219
763	7149	2208
764	7154	2197
765	7161	2187
766	7167	2177
767	7176	2167
768	7183	2157
769	7188	2147
770	7195	2137
771	7198	2125
772	7209	2117
773	7215	2106
774	7223	2097
775	7230	2087
776	7234	2076
777	7243	2066
778	7248	2056
779	7258	2047
780	7264	2037
781	7272	2027
782	7277	2016
783	7282	2006
784	7289	1996
785	7293	1985
786	7298	1975
787	7305	1965
788	7309	1954
789	7317	1945
790	7327	1936
791	7334	1926
792	7339	1915
793	7346	1905
794	7354	1896
795	7363	1887
796	7369	1877
797	7375	1866
798	7384	1857
799	7389	1847
800	7396	1837
801	7400	1827
802	7405	1816
803	7412	1807
804	7417	1796
805	7422	1786
806	7430	1776
807	7434	1766
808	7439	1756
809	7445	1746
810	7451	1736
811	7458	1726
812	7465	17814813	7474	17815814	7479	16816815	7483	16817816	7491	1678
817	7497	16819818	7501	16820819	7506	16821820	7510	16822821	7515	16823	7680	1640
824	7685	1630
825	7689	1619
826	7697	1610
827	7702	1600
828	7711	1590
829	7720	1581
830	7728	1571
831	7734	1561
832	7742	1552
833	7747	1542
834	7752	1531
835	7757	1521
836	7764	1512
837	7768	1501
838	7776	1492
839	7781	1482
840	7790	1472
841	7795	1462
842	7801	1452
843	7810	1443
844	7815	1433
845	7821	1423
846	7827	1413
847	7835	1404
848	7843	1395
849	7854	1386
850	7860	1376
851	7868	1366
852	7875	1357
853	7880	1347
854	7886	1337
855	7891	1327
856	7896	1317
857	7901	1307
858	7906	1297
859	7910	1287
860	7917	1278
861	7922	1268
862	7931	1259
863	7939	1249
864	7947	1240
865	7955	1230
866	7965	1221
867	7972	1212
868	7980	1202
869	7985	1193
870	7992	1183
871	7999	1174
872	8016	1166
873	8021	1156
874	8027	1146
875	8032	1137
876	8041	1127
877	8046	1118
878	8052	1108
879	8058	1098
880	8065	1089
881	8069	1079
882	8075	1070
883	8081	1060
884	8088	1050
885	8093	1041
886	8098	1031
887	8106	1022
888	8113	1013
889	8120	1003
890	8128	994
891	8132	984
892	8139	975
893	8144	965
894	8151	956
895	8155	946
896	8160	937
897	8167	927
898	8171	918
899	8175	908
900	8180	898
901	8185	889
902	8191	879
903	8200	870
904	8210	861
905	8227	853
906	8238	844
907	8247	835
908	8252	826
909	8263	817
910	8279	808
911	8284	799
912	8288	789
913	8297	780
914	8301	771
915	8305	761
916	8317	752
917	8328	743
918	8336	734
919	8344	725
920	8350	716
921	8366	707
922	8376	698
923	8381	689
924	8390	680
925	8396	670
926	8400	661
927	8414	652
928	8424	643
929	8429	634
930	8435	625
931	8442	615
932	8446	606
933	8456	597
934	8461	588
935	8468	579
936	8473	569
937	8478	560
938	8485	551
939	8489	541
940	8493	532
941	8500	523
942	8505	514
943	8510	504
944	8518	495
945	8524	486
946	8530	477
947	8538	468
948	8542	459
949	8549	449
950	8554	440
951	8559	431
952	8564	422
953	8568	413
954	8573	403
955	8579	394
956	8585	385
957	8594	376
958	8601	367
959	8609	358
960	8615	349
961	8620	340
962	8629	331
963	8633	322
964	8637	313
965	8643	304
966	8649	295
967	8660	286
968	8667	277
969	8677	268
970	8681	259
971	8686	250
972	8693	241
973	8698	232
974	8705	223
975	8713	214
976	8722	205
977	8729	196
978	8733	187
979	8739	178
980	8744	169
981	8748	160
982	8754	151
983	8759	142
984	8764	133
985	8770	124
986	8776	115
987	8779	106
988	8786	97
989	8790	88
990	8794	79
991	8802	70
992	8807	62
993	8816	53
994	8823	44
995	8833	35
996	8839	26
997	8845	17
998	8851	8
999	8856	0
	8
999	8605	0
